Pattern,Hole ID,Hole Type,Depth,Deck 1 (Toe) Design Exp,Deck 1 (Toe) Design Length,Deck 1 (Toe) Design Quantity,Deck 2 Design Exp,Deck 2 Design Length,Deck 2 Design Quant,Deck 3 Design Exp, Deck 3 Design Length, Deck 3 Design Quant,Deck 4 Design Exp,Deck 4 Design Length,Deck 4 Design Quant
ADM00_425_101A,A1,PRODUCTION,54.64,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A10,PRODUCTION,50.36,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A11,PRODUCTION,49.82,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A12,PRODUCTION,48.92,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A13,PRODUCTION,48.06,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A14,PRODUCTION,50.4,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A15,PRODUCTION,50.86,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A16,PRODUCTION,47.9,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A17,PRODUCTION,46.8,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101A,A18,PRODUCTION,46.5,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101A,A2,PRODUCTION,53.98,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101A,A3,PRODUCTION,53.48,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101A,A4,PRODUCTION,52.96,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101A,A5,PRODUCTION,52.36,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101A,A6,PRODUCTION,52,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101A,A7,PRODUCTION,51.64,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A8,PRODUCTION,51.22,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,A9,PRODUCTION,50.82,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,B1,PRODUCTION,55.06,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,B10,PRODUCTION,50.4,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,B11,PRODUCTION,49.96,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,B12,PRODUCTION,49.2,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,B13,PRODUCTION,48.32,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101A,B14,PRODUCTION,47.68,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101A,B15,PRODUCTION,51.46,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101A,B16,PRODUCTION,50.4,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B17,PRODUCTION,46.74,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B18,PRODUCTION,46,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B19,PRODUCTION,45.88,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B2,PRODUCTION,54.26,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B3,PRODUCTION,53.56,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B4,PRODUCTION,53.08,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B5,PRODUCTION,52.48,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B6,PRODUCTION,52.12,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B7,PRODUCTION,51.6,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B8,PRODUCTION,51.22,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,B9,PRODUCTION,50.82,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101A,C1,PRODUCTION,55.3,Anfo,,125,Stemming,1.95,,,,,,,
