Pattern,Hole Number,Hole Type,Design Depth,Deck 1 (Toe) Design Exp,Deck 1 (Toe) Design Length,Deck 1 (Toe) Design Quantity,Deck 2 Design Exp,Deck 2 Design Length,Deck 2 Design Quant,Deck 3 Design Exp, Deck 3 Design Length, Deck 3 Design Quant,Deck 4 Design Exp,Deck 4 Design Length,Deck 4 Design Quant
ADM00_425_101C,A10,PRODUCTION,21.31,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A11,PRODUCTION,21.37,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A12,PRODUCTION,21.51,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A16,PRODUCTION,21.53,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A17,PRODUCTION,21.52,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A18,PRODUCTION,21.53,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A19,PRODUCTION,21.55,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A2,PRODUCTION,19.28,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,A3,PRODUCTION,19.08,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101C,A4,PRODUCTION,19.47,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101C,A5,PRODUCTION,19.83,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101C,A6,PRODUCTION,20.46,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101C,A7,PRODUCTION,20.57,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101C,A8,PRODUCTION,20.72,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101C,A9,PRODUCTION,21.06,Emulsion 1.2,,140,Emulsion 1.2,,70,Stemming,1.1,,,,
ADM00_425_101C,B1,PRODUCTION,19.53,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B10,PRODUCTION,21.19,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B11,PRODUCTION,21.36,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B15,PRODUCTION,21.38,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B16,PRODUCTION,21.33,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B17,PRODUCTION,21.41,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B18,PRODUCTION,21.34,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B19,PRODUCTION,21.33,Anfo,,140,Anfo,,70,Stemming,1.1,,,,
ADM00_425_101C,B2,PRODUCTION,18.36,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101C,B3,PRODUCTION,18.97,Emulsion 1.0,,140,Emulsion 1.0,,70,Stemming,1.1,,,,
ADM00_425_101C,B4,PRODUCTION,19.4,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,B5,PRODUCTION,19.86,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,B6,PRODUCTION,20.3,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,B7,PRODUCTION,20.64,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,B8,PRODUCTION,20.88,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,B9,PRODUCTION,20.97,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C10,PRODUCTION,20.99,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C11,PRODUCTION,21.04,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C12,PRODUCTION,21.1,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C16,PRODUCTION,21.2,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C17,PRODUCTION,21.26,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C18,PRODUCTION,21.19,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C19,PRODUCTION,21.28,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C2,PRODUCTION,18.34,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C3,PRODUCTION,18.43,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C4,PRODUCTION,19.01,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C5,PRODUCTION,19.51,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C6,PRODUCTION,19.95,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C7,PRODUCTION,20.3,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C8,PRODUCTION,20.5,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,C9,PRODUCTION,20.89,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D1,PRODUCTION,19.04,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D10,PRODUCTION,20.8,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D11,PRODUCTION,20.86,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D15,PRODUCTION,20.9,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D16,PRODUCTION,20.97,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D17,PRODUCTION,21.16,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D18,PRODUCTION,21.14,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D19,PRODUCTION,21.1,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D2,PRODUCTION,18.01,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D3,PRODUCTION,18.6,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D4,PRODUCTION,19.13,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D5,PRODUCTION,19.56,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D6,PRODUCTION,19.86,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D7,PRODUCTION,20.19,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D8,PRODUCTION,20.42,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,D9,PRODUCTION,20.66,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E10,PRODUCTION,20.5,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E11,PRODUCTION,20.57,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E12,PRODUCTION,20.57,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E16,PRODUCTION,20.84,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E17,PRODUCTION,20.96,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E18,PRODUCTION,20.97,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E19,PRODUCTION,21.01,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E2,PRODUCTION,17.96,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E3,PRODUCTION,18.12,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E4,PRODUCTION,18.66,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E5,PRODUCTION,19.24,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E6,PRODUCTION,19.55,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E7,PRODUCTION,19.76,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E8,PRODUCTION,19.98,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E9,PRODUCTION,20.36,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,E9,REDRILL,20.36,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F1,PRODUCTION,18.59,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F10,PRODUCTION,20.31,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F11,PRODUCTION,20.3,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F15,PRODUCTION,20.61,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F16,PRODUCTION,20.69,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F17,PRODUCTION,20.75,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F18,PRODUCTION,20.81,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F19,PRODUCTION,20.91,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F2,PRODUCTION,17.56,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F3,PRODUCTION,18.24,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F4,PRODUCTION,18.76,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F5,PRODUCTION,19.32,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F6,PRODUCTION,19.63,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F7,PRODUCTION,19.65,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F8,PRODUCTION,19.81,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,F9,PRODUCTION,20.15,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G10,PRODUCTION,20.11,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G11,PRODUCTION,20.16,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G12,PRODUCTION,20.17,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G16,PRODUCTION,20.43,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G17,PRODUCTION,20.49,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G18,PRODUCTION,20.53,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G19,PRODUCTION,20.78,Emulsion 1.0,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G2,PRODUCTION,17.5,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G3,PRODUCTION,17.78,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G4,PRODUCTION,18.38,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G5,PRODUCTION,18.86,Emulsion 1.2,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G6,PRODUCTION,19.35,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G7,PRODUCTION,19.5,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G8,PRODUCTION,19.61,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,G9,PRODUCTION,19.85,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,H1,PRODUCTION,18.02,Anfo,,125,Stemming,1.95,,,,,,,
ADM00_425_101C,H10,PRODUCTION,19.91,Anfo,,125,Stemming,1.95,,,,,,,
