Pattern,Pit Name,Name segment 2,Name segment 3,Name segment 4,Hole ID,Hole Type,Burden,Spacing,Diameter,Depth,Subdrill,Collar X,Collar Y,Collar Z,Coord System,Dip ,Azi,Longitudue,Lattitude,Elevation,Coord System 2,Interval 1 Type,Interval 1 From Depth,Interval 1 To Depth,Interval 2 Type,Interval 2 From Depth,Interval 2 To Depth,(etc.)
ADM00_425_101A,ADM,00,425,101A,A1,PRODUCTION,5,5,115,54.64,1,228186.5091,6611984.405,323.04,MGA52,15,151.3119965,-30.59384944,126.1611102,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A10,PRODUCTION,5,5,115,50.36,1,228127.3842,6611950.029,323.04,MGA52,15,151.3119965,-30.59414583,126.1604852,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A11,PRODUCTION,5,5,115,49.82,1,228120.8152,6611946.196,323.04,MGA52,15,151.3119965,-30.59417889,126.1604157,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A12,PRODUCTION,5,5,115,48.92,1,228114.2453,6611942.393,323.04,MGA52,15,151.3119965,-30.59421167,126.1603463,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A13,PRODUCTION,5,5,115,48.06,1,228107.6763,6611938.56,323.04,MGA52,15,151.3119965,-30.59424472,126.1602768,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A14,PRODUCTION,5,5,115,50.4,1,228101.1072,6611934.727,323.04,MGA52,15,151.3119965,-30.59427778,126.1602074,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A15,PRODUCTION,5,5,115,50.86,1,228094.5374,6611930.924,323.04,MGA52,15,151.3119965,-30.59431056,126.160138,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A16,PRODUCTION,5,5,115,47.9,1,228087.9683,6611927.091,323.04,MGA52,15,151.3119965,-30.59434361,126.1600685,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A17,PRODUCTION,5,5,115,46.8,1,228081.3985,6611923.288,323.04,MGA52,15,151.3119965,-30.59437639,126.1599991,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A18,PRODUCTION,5,5,115,46.5,1,228074.8296,6611919.455,323.04,MGA52,15,151.3119965,-30.59440944,126.1599296,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A2,PRODUCTION,5,5,115,53.98,1,228179.94,6611980.571,323.04,MGA52,15,151.3119965,-30.5938825,126.1610407,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A3,PRODUCTION,5,5,115,53.48,1,228173.3701,6611976.769,323.04,MGA52,15,151.3119965,-30.59391528,126.1609713,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A4,PRODUCTION,5,5,115,52.96,1,228166.801,6611972.936,323.04,MGA52,15,151.3119965,-30.59394833,126.1609018,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A5,PRODUCTION,5,5,115,52.36,1,228160.2311,6611969.133,323.04,MGA52,15,151.3119965,-30.59398111,126.1608324,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A6,PRODUCTION,5,5,115,52,1,228153.6621,6611965.3,323.04,MGA52,15,151.3119965,-30.59401417,126.160763,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A7,PRODUCTION,5,5,115,51.64,1,228147.0922,6611961.498,323.04,MGA52,15,151.3119965,-30.59404694,126.1606935,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A8,PRODUCTION,5,5,115,51.22,1,228140.5231,6611957.665,323.04,MGA52,15,151.3119965,-30.59408,126.1606241,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,A9,PRODUCTION,5,5,115,50.82,1,228133.9541,6611953.831,323.04,MGA52,15,151.3119965,-30.59411306,126.1605546,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B1,PRODUCTION,5,5,115,55.06,1,228192.8037,6611981.142,323.04,MGA52,15,151.3119965,-30.59388028,126.1611749,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B10,PRODUCTION,5,5,115,50.4,1,228133.6796,6611946.736,323.04,MGA52,15,151.3119965,-30.59417694,126.1605499,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B11,PRODUCTION,5,5,115,49.96,1,228127.1098,6611942.933,323.04,MGA52,15,151.3119965,-30.59420972,126.1604805,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B12,PRODUCTION,5,5,115,49.2,1,228120.5407,6611939.1,323.04,MGA52,15,151.3119965,-30.59424278,126.160411,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B13,PRODUCTION,5,5,115,48.32,1,228113.9709,6611935.297,323.04,MGA52,15,151.3119965,-30.59427556,126.1603416,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B14,PRODUCTION,5,5,115,47.68,1,228107.4019,6611931.464,323.04,MGA52,15,151.3119965,-30.59430861,126.1602721,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B15,PRODUCTION,5,5,115,51.46,1,228100.8328,6611927.631,323.04,MGA52,15,151.3119965,-30.59434167,126.1602027,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B16,PRODUCTION,5,5,115,50.4,1,228094.2631,6611923.828,323.04,MGA52,15,151.3119965,-30.59437444,126.1601332,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B17,PRODUCTION,5,5,115,46.74,1,228087.694,6611919.995,323.04,MGA52,15,151.3119965,-30.5944075,126.1600638,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B18,PRODUCTION,5,5,115,46,1,228081.125,6611916.162,323.04,MGA52,15,151.3119965,-30.59444056,126.1599943,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B19,PRODUCTION,5,5,115,45.88,1,228074.5551,6611912.359,323.04,MGA52,15,151.3119965,-30.59447333,126.1599249,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B2,PRODUCTION,5,5,115,54.26,1,228186.2346,6611977.309,323.04,MGA52,15,151.3119965,-30.59391333,126.1611055,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B3,PRODUCTION,5,5,115,53.56,1,228179.6655,6611973.476,323.04,MGA52,15,151.3119965,-30.59394639,126.161036,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B4,PRODUCTION,5,5,115,53.08,1,228173.0957,6611969.673,323.04,MGA52,15,151.3119965,-30.59397917,126.1609666,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B5,PRODUCTION,5,5,115,52.48,1,228166.5266,6611965.84,323.04,MGA52,15,151.3119965,-30.59401222,126.1608971,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B6,PRODUCTION,5,5,115,52.12,1,228159.9575,6611962.007,323.04,MGA52,15,151.3119965,-30.59404528,126.1608277,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B7,PRODUCTION,5,5,115,51.6,1,228153.3877,6611958.205,323.04,MGA52,15,151.3119965,-30.59407806,126.1607582,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B8,PRODUCTION,5,5,115,51.22,1,228146.8185,6611954.371,323.04,MGA52,15,151.3119965,-30.59411111,126.1606888,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,B9,PRODUCTION,5,5,115,50.82,1,228140.2487,6611950.569,323.04,MGA52,15,151.3119965,-30.59414389,126.1606193,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,C1,PRODUCTION,5,5,115,55.3,1,228199.1258,6611977.85,323.04,MGA52,15,151.3119965,-30.59391139,126.1612399,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,C10,PRODUCTION,5,5,115,50.42,1,228139.9743,6611943.473,323.04,MGA52,15,151.3119965,-30.59420778,126.1606146,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,C11,PRODUCTION,5,5,115,50,1,228133.4052,6611939.64,323.04,MGA52,15,151.3119965,-30.59424083,126.1605452,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,C12,PRODUCTION,5,5,115,49.52,1,228126.8362,6611935.807,323.04,MGA52,15,151.3119965,-30.59427389,126.1604757,323.04,WGS84,,,,,,,
ADM00_425_101A,ADM,00,425,101A,C13,PRODUCTION,5,5,115,48.84,1,228120.2663,6611932.004,323.04,MGA52,15,151.3119965,-30.59430667,126.1604063,323.04,WGS84,,,,,,,
